"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Создание курьера","4","0","Тест: регистрация нового курьера с пропущенными полями","0"
"0","","0","Получить заказ","1","0","Тест: извлечение информации без номера заказа","0"
"0","","0","Принять заказ","1","0","Тест: принять заказ с несуществующим номером","0"
"0","","0","Создание заказа","4","0","Тест: успешное создание заказа","0"
"0","","0","Логин курьера","1","0","Тест: успешный логин курьера","0"
"0","","0","Логин курьера","1","0","Тест: логин несуществующего курьера","0"
"0","","0","Логин курьера","3","0","Тест: логин курьера с отсутствующими полями","0"
"0","","0","Принять заказ","1","0","Тест: принять заказ с запросом без номера курьера","0"
"0","","0","Список заказов","1","0","Тест: запрос списка заказов у несуществующего курьера","0"
"0","","0","Получить заказ","1","0","Тест: успешное извлечение информации о заказе","0"
"0","","0","Принять заказ","1","0","Тест: успешное принятие заказа","0"
"0","","0","Принять заказ","1","0","Тест: принять занятый заказ повторно","0"
"0","","0","Создание курьера","3","0","Тест: успешная регистрация нового курьера","0"
"0","","0","Удалить курьера","1","0","Тест: удаление несуществующего курьера","0"
"0","","0","Получить заказ","1","0","Тест: запрос данных несуществующего заказа","0"
"0","","0","Удалить курьера","1","0","Тест: успешное удаление курьера","0"
"0","","0","Создание курьера","1","0","Тест: регистрация курьера с занятым логином","0"
"0","","0","Список заказов","1","0","Тест: успешный запрос списка заказов","0"
"0","","0","Принять заказ","1","0","Тест: принять заказ с несуществующим номером курьера","0"
