"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Генерируем данные регистрации курьера, получаем ошибку","356","Тест для курьера: {'login': '', 'password': 12}","tests","Sat May 10 12:39:14 GMT+05:00 2025","passed","Sat May 10 12:39:15 GMT+05:00 2025","TestCreateCourier","test_create_courier","",""
"Генерируем данные для успешной регистрации курьера","310","Тест для курьера: {'login': 15, 'password': 12}","tests","Sat May 10 12:39:10 GMT+05:00 2025","passed","Sat May 10 12:39:11 GMT+05:00 2025","TestCreateCourier","test_create_courier","",""
"Генерируем данные регистрации курьера, получаем ошибку","300","Тест для курьера: {'login': 12, 'password': ''}","tests","Sat May 10 12:39:14 GMT+05:00 2025","passed","Sat May 10 12:39:14 GMT+05:00 2025","TestCreateCourier","test_create_courier","",""
"Генерируем данные и создаем заказ","398","Тест: создание заказа со скутером цвета ['BLACK']","tests","Sat May 10 12:39:15 GMT+05:00 2025","passed","Sat May 10 12:39:15 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"При попытке логина есть отсутствующие поля","281","Тест для курьера: {'login': 12, 'password': ''}","tests","Sat May 10 12:39:21 GMT+05:00 2025","passed","Sat May 10 12:39:21 GMT+05:00 2025","TestLoginCourier","test_login_courier","",""
"Генерируем данные и создаем заказ","330","Тест: создание заказа со скутером цвета []","tests","Sat May 10 12:39:15 GMT+05:00 2025","passed","Sat May 10 12:39:15 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"При попытке логина есть отсутствующие поля","351","Тест для курьера: {'login': '', 'password': 12}","tests","Sat May 10 12:39:22 GMT+05:00 2025","passed","Sat May 10 12:39:22 GMT+05:00 2025","TestLoginCourier","test_login_courier","",""
"Генерируем данные заказа, пробуем принять заказ без номера курьера","356","Тест: принять заказ с запросом без номера курьера","tests","Sat May 10 12:39:04 GMT+05:00 2025","passed","Sat May 10 12:39:04 GMT+05:00 2025","TestAcceptOrder","test_accept_order","",""
"Генерируем данные регистрации курьера, получаем ошибку","383","Тест для курьера: {'password': 12}","tests","Sat May 10 12:39:14 GMT+05:00 2025","passed","Sat May 10 12:39:14 GMT+05:00 2025","TestCreateCourier","test_create_courier","",""
"Регистрируем и заходим в профиль курьера","243","Тест: успешный логин курьера","tests","Sat May 10 12:39:20 GMT+05:00 2025","passed","Sat May 10 12:39:21 GMT+05:00 2025","TestLoginCourier","test_login_courier","",""
"Запрашиваем данные без номера заказа","372","Тест: извлечение информации без номера заказа","tests","Sat May 10 12:39:18 GMT+05:00 2025","passed","Sat May 10 12:39:19 GMT+05:00 2025","TestGetOrderData","test_get_order_data","",""
"Создаем курьера, пробуем использовать его логин для другого курьера","399","Тест: регистрация курьера с занятым логином","tests","Sat May 10 12:39:11 GMT+05:00 2025","passed","Sat May 10 12:39:12 GMT+05:00 2025","TestCreateCourier","test_create_courier","",""
"Генерируем данные заказа и курьера, пробуем принять заказ с несуществующим номером","301","Тест: принять заказ с несуществующим номером","tests","Sat May 10 12:39:05 GMT+05:00 2025","passed","Sat May 10 12:39:05 GMT+05:00 2025","TestAcceptOrder","test_accept_order","",""
"Генерируем данные и создаем заказ","245","Тест: создание заказа со скутером цвета ['GREY', 'BLACK ']","tests","Sat May 10 12:39:16 GMT+05:00 2025","passed","Sat May 10 12:39:16 GMT+05:00 2025","TestCreateOrder","test_create_order","",""
"Получаем список заказов у несуществующего курьера","327","Тест: запрос списка заказов у несуществующего курьера","tests","Sat May 10 12:39:24 GMT+05:00 2025","passed","Sat May 10 12:39:24 GMT+05:00 2025","TestOrderList","test_order_list","",""
"Генерируем данные курьера и заказа, принимаем заказ","589","Тест: успешное принятие заказа","tests","Sat May 10 12:39:03 GMT+05:00 2025","passed","Sat May 10 12:39:03 GMT+05:00 2025","TestAcceptOrder","test_accept_order","",""
"Генерируем данные заказа и запрашиваем данные","234","Тест: успешное извлечение информации о заказе","tests","Sat May 10 12:39:18 GMT+05:00 2025","passed","Sat May 10 12:39:18 GMT+05:00 2025","TestGetOrderData","test_get_order_data","",""
"Генерируем данные курьера и заказа, принимаем заказ","972","Тест: принять занятый заказ повторно","tests","Sat May 10 12:39:08 GMT+05:00 2025","passed","Sat May 10 12:39:09 GMT+05:00 2025","TestAcceptOrder","test_accept_order","",""
"Генерируем данные для успешной регистрации курьера","646","Тест для курьера: {'login': 15, 'password': 12, 'first_name': ''}","tests","Sat May 10 12:39:10 GMT+05:00 2025","passed","Sat May 10 12:39:10 GMT+05:00 2025","TestCreateCourier","test_create_courier","",""
"При попытке логина есть отсутствующие поля","231","Тест для курьера: {'password': 12}","tests","Sat May 10 12:39:22 GMT+05:00 2025","passed","Sat May 10 12:39:22 GMT+05:00 2025","TestLoginCourier","test_login_courier","",""
